mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_estimator__learning_rate	param_estimator__loss	param_estimator__n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	split15_test_score	split16_test_score	split17_test_score	split18_test_score	split19_test_score	split20_test_score	split21_test_score	split22_test_score	split23_test_score	split24_test_score	split25_test_score	split26_test_score	split27_test_score	split28_test_score	split29_test_score	split30_test_score	split31_test_score	split32_test_score	split33_test_score	split34_test_score	split35_test_score	split36_test_score	split37_test_score	split38_test_score	split39_test_score	split40_test_score	split41_test_score	split42_test_score	split43_test_score	split44_test_score	split45_test_score	split46_test_score	split47_test_score	split48_test_score	split49_test_score	mean_test_score	std_test_score	rank_test_score
0.02991816520690918	0.005330431384143808	0.0016774415969848632	0.00036957027388280045	0.001	linear	10	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 10}	0.568497035810813	0.6949977692984339	0.5544873560175536	0.6528711044726752	0.677437542921533	0.6561909007615219	0.6785261457951984	0.5930841864835555	0.6181919280911412	0.5381868627843006	0.60156548016725	0.6545026749205046	0.6777042680388252	0.6479965215938878	0.6222169710937877	0.7157408672672121	0.6556731302401653	0.6432221761258412	0.6643470870577144	0.4963416032317568	0.5452034872353497	0.6497294961389541	0.6584107000919868	0.6148132735899305	0.5819413972993213	0.6109045775292647	0.6087415096165387	0.62905271979996	0.658651370736403	0.6240703735611031	0.6983991099298565	0.6403445820515427	0.6427045582733948	0.567480710161325	0.677106998083832	0.5922736421896833	0.5942043279225232	0.6449277878881989	0.6768206961282427	0.7108434331504534	0.6501915961031632	0.6456380647402249	0.6088070700021455	0.6951685171089728	0.6675071694175687	0.6348896138719053	0.5816065210798862	0.6362147313420858	0.6677051611703051	0.6647291997607344	0.6338172801629707	0.04629116237968993	60
0.1282246971130371	0.011751413608648462	0.005247507095336914	0.0012588947820680102	0.001	linear	50	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 50}	0.6056006498550268	0.7054006262146544	0.556816213222616	0.6667766962179664	0.6942544133994806	0.6558587892756063	0.6987844141836792	0.5636674456694879	0.6267277415064242	0.5996495682039009	0.6243246490984967	0.6356107979143026	0.6857399828062902	0.6356130470200497	0.6304439008399831	0.7105097241695675	0.6738419998298337	0.6336891891384235	0.6702856724287971	0.48543652495443634	0.5929150867658348	0.6479891679361497	0.6537230474752278	0.6428639764402315	0.6149702385785027	0.6105342289010653	0.5892862297991514	0.6534747185180088	0.6781743311567883	0.6390828271941977	0.7190541110648662	0.6138679674188265	0.6412284777234121	0.5496711940224447	0.7054981846980031	0.5882424147583827	0.5811861418653175	0.6619285256863212	0.6844929171627832	0.7124700868583257	0.6721748389449588	0.6577672337697112	0.6359167526303748	0.6687326507220965	0.65445506655166	0.6352714026303325	0.5921610742987177	0.6854318642182048	0.6726745581832038	0.7018146328388186	0.6423217198952188	0.04767045893417925	54
0.24382153034210205	0.014589132236524248	0.008562526702880859	0.0006129147185850624	0.001	linear	100	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 100}	0.6081675818800023	0.6984637328627183	0.5609234904453194	0.6802330088377964	0.6993263075218594	0.6568486816019539	0.7044649599420642	0.5731747068395596	0.6288895660207435	0.5906467687994782	0.6269281565167812	0.6609624526682057	0.6777678242680383	0.6369567424714664	0.6318607543537168	0.7098740728861608	0.6719309403921794	0.6441789645724875	0.6720649180042844	0.48225130049829534	0.5900208955570714	0.6418827653082445	0.6633041658522429	0.6531036670755475	0.6140555825596442	0.6289697609265107	0.6094681906726425	0.647468651218291	0.6845240047612349	0.6350723487855636	0.7158088663097293	0.6150480476164283	0.6499151326288639	0.5512356324216208	0.701099403589102	0.5900930236276029	0.5806694782258104	0.6528008815871871	0.6813472372486291	0.7256235724921485	0.673339964629214	0.6557502788493237	0.6317476130910189	0.6803132618717409	0.6674015674649137	0.642847135376857	0.5922950596346395	0.6817180445117705	0.6734140999209903	0.6918744435251123	0.6447625541744563	0.04733591059029918	51
0.46888023376464844	0.018076633833302918	0.018050546646118163	0.0020620208374703772	0.001	linear	200	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 200}	0.6106579775205995	0.6991019735993034	0.5675268763812351	0.6798556275548064	0.6879549328785883	0.6575133454618757	0.7131961408844227	0.5699343011061762	0.6333038438978111	0.5922915386712901	0.6222788187312446	0.6655716972506128	0.6863689840849203	0.6415772334692886	0.6250222586366858	0.7076457646690211	0.6809794712911961	0.6414744080895209	0.6659572491709098	0.4956788796049446	0.596735368604012	0.6589965063657837	0.6620419605130542	0.6485814964577729	0.6138855473834606	0.6307121572580325	0.6168846017236903	0.6533786835622211	0.68344952953561	0.6424152268743657	0.7215375282803121	0.6211300003534435	0.6395587686565667	0.5459640188050675	0.7091600773761916	0.5906007733809631	0.5856888088807465	0.6566349217755945	0.6811149187288359	0.724567111105301	0.6692404484331861	0.6632882303901363	0.631279159116301	0.6736675524569418	0.6708572295308253	0.6459745865178385	0.6014270228253954	0.6913960886126025	0.6701750893641469	0.6680851139257771	0.6462463969949725	0.04610271320488712	48
0.0248995304107666	0.0019447663345149916	0.0013791894912719726	8.7227630020705e-05	0.001	square	10	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 10}	0.6045847627681624	0.6776941447920535	0.5418098199653996	0.663293512578526	0.6874899405055153	0.6310123886166107	0.6896181980548102	0.5736279692808581	0.5823091958871276	0.616964741398079	0.6133476519570122	0.6426841726588991	0.6799746896602574	0.6153509878859493	0.6343686652446783	0.6892994522435469	0.6527824404596011	0.6435444116375828	0.6481161588930855	0.5053789905146561	0.5870896176222787	0.654545597724733	0.6683767178829834	0.6550745910650826	0.5987156527914597	0.6148833389262846	0.6133217263143389	0.6370207109836261	0.690388214471823	0.6368424224817354	0.6788128546685466	0.5950092511548402	0.6463523780978737	0.5481993178789579	0.7143023030604319	0.5668097900915536	0.5717531786183625	0.6400837792829366	0.6962513408552274	0.7359170517854223	0.6582574585256413	0.6461039839467233	0.6017195947573136	0.6812683697775457	0.6641348281362912	0.6383419343297855	0.5893510926663721	0.6322053280255084	0.6795329025633667	0.6912811164154999	0.6365039747980991	0.04680793228600323	56
0.11922263622283935	0.00565230327103129	0.004458980560302734	0.0001463672565864517	0.001	square	50	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 50}	0.5987471239763342	0.7092591346944428	0.5987611559366572	0.676503636319705	0.678655421895157	0.6547770268029685	0.7179030998712486	0.5752746197435197	0.627867542237069	0.5991341103922154	0.6224963127046231	0.6398742390644732	0.6882469801404936	0.6319277729711261	0.6392247410925394	0.6988030426711146	0.6734442055843712	0.6364854156188591	0.6647145462408552	0.4758474007884963	0.587650410222055	0.6532691421098193	0.666005809878727	0.637569717087235	0.6142619697446625	0.6262564620056921	0.6106728571236117	0.6527466065701704	0.6732134069747167	0.6389112955684582	0.7179170954523566	0.6282100254912061	0.6334923213293892	0.546123396561893	0.7070500850227244	0.5885214351667072	0.5835076845338445	0.6586570056656904	0.6686913522013112	0.7201702751250301	0.667066197721694	0.6669882038245685	0.6225726972104471	0.6693471620806948	0.6681926105121057	0.6453475386282446	0.604790093432211	0.6864142136779205	0.6690580059113911	0.6895580867613276	0.6442036138468434	0.046260878362723315	53
0.2384902572631836	0.010467140329998416	0.00844191551208496	0.00038446517207481323	0.001	square	100	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 100}	0.609985271935358	0.7051387109461262	0.5563794441851938	0.67373875139019	0.688169324590985	0.6613034150743451	0.7163711374896283	0.5718285096210053	0.6402949821828516	0.5904306332598506	0.6247649742388959	0.6366957405339213	0.6904441542936901	0.642358984190745	0.6432256314092542	0.702449018095244	0.6768467762402974	0.6442956822647755	0.6641864837081104	0.4840371778786424	0.6022107828170729	0.6501429625796252	0.6650631413047852	0.6303772505446952	0.6105488285074794	0.6244197026252326	0.6113741678856033	0.6501330287735304	0.684623325669447	0.6342683316375074	0.7146189977444467	0.616211905026182	0.6367972825710468	0.5472753080756659	0.7056970698194885	0.5828098395361211	0.5868078923620943	0.6590207284369974	0.6874532934743784	0.7195496773328868	0.6772304181868883	0.6646217032445292	0.6272295126335696	0.673026523045956	0.6673044948681695	0.6396989817508665	0.5943739194700501	0.6915636851070623	0.670497486885253	0.6998207568876746	0.6449543160466683	0.047832320159973934	49
0.4816804313659668	0.024229695107881345	0.01825322151184082	0.0014510226297781803	0.001	square	200	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 200}	0.609719136517232	0.7041582199580283	0.5578725145110954	0.6718943333363254	0.689917187832005	0.6517220920246198	0.7059125588540758	0.584996503484572	0.6407474268180546	0.5975743858279858	0.6388633954453922	0.6614394197837078	0.6963286042538391	0.6496989364062549	0.6375152312707926	0.7100869920768662	0.6767920329472392	0.6422028100825736	0.66973581184837	0.4884351704565606	0.6112975326447221	0.6587436799762266	0.6655189443448066	0.6400756957390723	0.6104480682392296	0.6686464698054335	0.6132194946119849	0.6516363167975576	0.6793093406771187	0.6431074038122284	0.7220560663304927	0.6319035472769705	0.6414485781507253	0.5501694246052302	0.7049104306618896	0.5877568637304933	0.5863902310645437	0.6578811744623507	0.6931946188726429	0.720246747798097	0.6767871367399325	0.6609302631322762	0.6334295141558801	0.6787710567062029	0.670314047906613	0.643845531108526	0.5927518038169645	0.6891411412582409	0.675328703669307	0.6969241032138889	0.6488359339009048	0.04651087840303346	46
0.024521489143371582	0.0015346092667681227	0.0013612842559814454	6.450751629284665e-05	0.001	exponential	10	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 10}	0.5991223819997936	0.6728751983961256	0.5534289658256881	0.6789392042312119	0.6833045268693309	0.65944637902037	0.7065733960478437	0.5705015786753898	0.6335367120400487	0.541748732049302	0.5895104656047627	0.6373882266829873	0.6868566413581534	0.644600734124641	0.5818853555205517	0.6994301985410556	0.6700668433539136	0.6359420404650944	0.6662607609112918	0.48163733214742	0.5890784789077295	0.6208719138448817	0.6479611380927481	0.6416913277581997	0.6054542988412233	0.6208752469524053	0.6040407848859526	0.6328935557411575	0.6649461801822623	0.6167215099315395	0.7121376592469283	0.598122541209696	0.6441294381113463	0.5389065975869798	0.6982801402228985	0.5656618614769324	0.5931381330527863	0.6613196892743198	0.6392442953784774	0.6971310252768237	0.6586921032391859	0.6597905840447296	0.6246176252941158	0.6932237735041537	0.6756745480267583	0.6304925842764353	0.5913351767020469	0.6512184663999339	0.6612170846379026	0.6725485803710173	0.6340894403267309	0.04855899736507548	59
0.12237611293792724	0.0052627113804105995	0.0046136236190795895	0.0003355650778944989	0.001	exponential	50	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 50}	0.6035395450638721	0.7038552506928	0.5565807630686714	0.662442831977655	0.696827216501448	0.6517093063439212	0.7076609268051308	0.5658996926775741	0.6370829794457107	0.6007913485651555	0.622389525465759	0.6712691495260623	0.6806084681952643	0.6451890918131047	0.6302571559842642	0.7053334884270177	0.6729687229695771	0.6368032236788643	0.6790619546821661	0.49769919565612886	0.6059892800841707	0.6511376830923108	0.665847301029712	0.6605622000246913	0.6093151929855891	0.6263199472954742	0.6172738091065367	0.6483891920774694	0.6763442531577508	0.6373220140763309	0.7267193900770479	0.617458837835688	0.6370921531200393	0.5468890024691013	0.7061935802566697	0.5860262788401878	0.5915593961744028	0.6600131396069182	0.6727818968738924	0.7212063617770524	0.6687946476390286	0.6498817929038534	0.6152614109379664	0.681552485289757	0.6686152202121909	0.638231566095173	0.5982102764853185	0.6575283540141785	0.6710549733674792	0.6771933941726163	0.6443746973723748	0.04591616101614193	52
